conselho ;conselheiro;setor;posicao
Educação;Álvaro César Gomes Faria;;Suplente
Educação;Rosana Corrêa Juncá;;Titular
Educação;Anizete Évio de Souza Viana;;Suplente
Educação;Maria Cristina Torres Lima;;Titular
Educação;Vinicius Soares Barbosa;;Suplente
Educação;Maria Rita Fundão Maciel;;Titular
Educação;Denise Cardoso Alves;;Suplente
Educação;Fábio Gustavo Viana Siqueira;;Titular
Educação;Vera Lúcia Ribeiro Félix;;Suplente
Educação;Tânia Silva Sá Viana;;Titular
Educação;Patrícia Cristosan;;Suplente
Educação;Odisseia Pinto de Carvalho;;Titular
Educação;Graciete Santana Nogueira Nunes;;Suplente
Educação;Patrícia de Paula Baía;;Titular
Educação;Patrícia Ferreira de Carvalho;;Suplente
Educação;Francisco Carlos Faria Bernardino;;Titular
Educação;Carina da Silva Gomes;;Suplente
Educação;Isabel Cristina Pinto Pinheiro;;Titular
Educação;Otávia Dias;;Suplente
Educação;Jefferson Manhães de Azevedo;;Titular
Educação;Saionara Rosa da Cruz;;Suplente
Educação;Heloisa Helena Queiroz Rocha Pacheco da Silva;;Titular
Educação;Francione de França Fonseca;;Suplente
Educação;Odete Pereira da Rocha;;Titular
Educação;Helmar Amorim de Souza Oliveira;;Suplente
Assistência Social;Renato Gonçalves dos Santos;Sociedade Civil;Titular
Assistência Social;Débora de Paula Souza Inácio;Sociedade Civil;Suplente
Assistência Social;Ricardo Luiz da Silva Araújo;Sociedade Civil;Titular
Assistência Social;Marcelo Pizani Boldes;Sociedade Civil;Suplente
Assistência Social;Cintia Dutra da Silva Bensi;Sociedade Civil;Titular
Assistência Social;Hilda Márcia Soares Monteiro;Sociedade Civil;Suplente
Assistência Social;Francisco de Assis do Nascimento;Sociedade Civil;Titular
Assistência Social;Jorge Luiz Dias Machado;Sociedade Civil;Suplente
Assistência Social;Bruna Machel da Silva Moraes Azevedo;Sociedade Civil;Titular
Assistência Social;Cristiane Gomes Monteiro;Sociedade Civil;Titular
Assistência Social;Ângela Maria Correa Pereira;Sociedade Civil;Suplente
Assistência Social;Érica Gomes Martins;Sociedade Civil;Titular
Assistência Social;Tatiana da Costa Gomes;Sociedade Civil;Suplente
Assistência Social;Janaína Monteiro Alves Mandu;Sociedade Civil;Titular
Assistência Social;Eliana Monteiro Feres;Sociedade Civil;Suplente
Assistência Social;Ketnen Rose Medeiros Barreto;Sociedade Civil;Titular
Assistência Social;Liliane Cardoso D`Almeida;Sociedade Civil;Suplente
Assistência Social;Ederton Quemel Rossini;Sociedade Civil;Titular
Assistência Social;Luciana Fernandes Caldas;Sociedade Civil;Suplente
Assistência Social;Elma Coelho Nunes Sizenando;Poder Público ;Titular
Assistência Social;Aline Maria S. C. Giovannini;Poder Público ;Suplente
Assistência Social;Diovane Rodrigues Gonçalves;Poder Público ;Titular
Assistência Social;Marcio Ribeiro Leandro;Poder Público ;Suplente
Assistência Social;Amanda Aparecida Passalini;Poder Público ;Titular
Assistência Social;Eliane Nogueira Gomes;Poder Público ;Suplente
Assistência Social;Rogério Matoso;Poder Público ;Titular
Assistência Social;Patrícia Nani Beyruth;Poder Público ;Suplente
Assistência Social;Natália Chalita Ribeiro;Poder Público ;Titular
Assistência Social;Laura Burla Maciel;Poder Público ;Suplente
Assistência Social;Alonso Bartolazzi Barbosa;Poder Público ;Titular
Assistência Social;Heitor Andrade Gomes Carvalho dos Santos;Poder Público ;Suplente
Assistência Social;Thiago Nunes Pimentel;Poder Público ;Titular
Assistência Social;Raquel Viana Siqueira;Poder Público ;Suplente
Assistência Social;Beatriz Mateus Pereira;Poder Público ;Titular
Assistência Social;Natália Campolino Moussallem;Poder Público ;Suplente
Assistência Social;Fernando Antonio Leite Cabral Loureiro;Poder Público ;Titular
Assistência Social;Mônica de Souza Gomes;Poder Público ;Suplente
Assistência Social;João Victor de Lima Coutinho Gomes de Vasconcelos;Poder Público ;Titular
Assistência Social;Maria Helena de Souza Pereira;Poder Público ;Suplente
Segurança Alimentar e Nutricional;José Armando Ribeiro Barreto;Poder Público;Titular
Segurança Alimentar e Nutricional;Marcel Cardoso e Cardoso;Poder Público;Suplente
Segurança Alimentar e Nutricional;Carlos Ronald Macabu;Poder Público;Titular
Segurança Alimentar e Nutricional;Diogo Sodré Figueiredo Ferreira;Poder Público;Suplente
Segurança Alimentar e Nutricional;Marcia Valéria Soares Assad;Poder Público;Titular
Segurança Alimentar e Nutricional;Danielle da Cunha Lessa Quillici;Poder Público;Suplente
Segurança Alimentar e Nutricional;Jaqueline dos Santos Paes Andrade;Poder Público;Titular
Segurança Alimentar e Nutricional;Fabíola Caldeira Ferreira;Poder Público;Suplente
