ID;EffSize;Efficiency;Constraint;Hierarchy;Indirects
Tatiana Botelho Sampaio;3,899999142;0,097499974;0,085676886;9,86E-05;0,851069033
Tatiana Da Costa Gomes;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Tatiana Da Silva;3,899999142;0,097499974;0,085676886;9,86E-05;0,851069033
Tatiana Dos Santos Almeida;32,40942001;0,531301975;0,057716519;0,060452528;0,778909862
Tatiana Freire Ferreira;8,771367073;0,224906862;0,0775657;0,000476393;0,738520682
Tayna Santos Conceição;3,899999142;0,097499974;0,085676886;9,86E-05;0,851069033
Taísa Santos Dias;3,333333254;0,158730149;0,155001491;0,000430841;0,803584099
Thais De Maria Gomes De Andrade Ramos;1,45454514;0,132231385;0,266424268;0,000300258;0,71161288
Thamirys Da Silva De Souza;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Thaynam Silva Bairral França Gonçalves;2,733332634;0,182222173;0,188034177;0,000238465;0,679167926
Thaís Chaves Soares Pessanha;8,771367073;0,224906862;0,0775657;0,000476393;0,738520682
Thaís Siqueira Gomes;3,899999142;0,097499974;0,085676886;9,86E-05;0,851069033
Thiago Nunes Pimentel;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Tiago Flávio Lisboa Telles Ferreira;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Tito Lívio Campello Inojosa De Andrade;7,294573784;0,169641256;0,080023929;0,000209783;0,854639351
Tânia Márcia Ferreira Freitas;6,096775055;0,19667016;0,101185098;0,000144656;0,7708655
Tânia Silva Sá Viana;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Valdir Dos Santos Rodrigues Filho;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Valquiria Rocha Servo;61,06422043;0,636085629;0,040111609;0,057025824;0,856020033
Valéria Corrêa Lopes;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Vanda Terezinha Vasconcelos;47,63106155;0,433009654;0,033323038;0,000660345;0,913048923
Vera Cardoso De Melo;21,32561684;0,402370125;0,064962715;0,011474844;0,838095307
Vera Lúcia Carvalho De Oliveira;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Vera Lúcia Ribeiro Félix;45,20370483;0,418552816;0,034071974;0,000655707;0,916775107
Victor Hugo Ribeiro Almeida;8,771367073;0,224906862;0,0775657;0,000476393;0,738520682
Vilmar Ferreira Rangel;33,33571243;0,490231067;0,053494528;0,015416732;0,882044554
Vinicius Soares Barbosa;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Vitor Montalvão Oliveira;4,160000324;0,166400015;0,127645135;9,01E-05;0,786244154
Viviane Aparecida Siqueira Lopes;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Vânia Cristina Coutinho De Souza;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Wagner De Paula Almeida Pereira;48,28138351;0,635281384;0,04507973;0,008255321;0,83717066
Wandick Lobo Neto;2,897435904;0,074293226;0,090497293;1,11E-05;0,878649533
Wellington Cordeiro;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Wellington Passos;41,32261658;0,590323091;0,045557436;0,000440041;0,784947395
Wilson Paes Júnior;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Zenilson Coutinho Do Amaral;7,294573784;0,169641256;0,080023929;0,000209783;0,854639351
Álvaro César Gomes Faria;40,93981552;0,568608522;0,047092915;0,000495073;0,840413034
Ângela Da Costa Barreto;3,899999142;0,097499974;0,085676886;9,86E-05;0,851069033
Ângela Maria Correa Pereira;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Ângelo José Burla Dias;7,294573784;0,169641256;0,080023929;0,000209783;0,854639351
Érica Gomes Martins;39,44117737;0,597593606;0,050043158;0,014610408;0,79405576
Érika Alves Da Silva Ramos;2,769230366;0,213017717;0,19145827;0,000888372;0,576747
