ID;EffSize;Efficiency;Constraint;Hierarchy;Indirects
Heitor Andrade Gomes Carvalho Dos Santos;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Helena Kiyomi Hokamura;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Helmar Amorim De Souza Oliveira;31,29364967;0,568975449;0,068982162;0,049628738;0,861439466
Heloisa Helena Queiroz Rocha Pacheco Da Silva;5,241379738;0,180737227;0,108379938;0,000347494;0,772342741
Hernandes Passos Virginio;1,987337947;0,025156176;0,04839506;1,97E-07;0,955302
Hilda Márcia Soares Monteiro;4,276316166;0,112534642;0,089318365;2,76E-05;0,842261195
Humberto Fernandes;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Humberto Moreira Rangel;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Iara De Souza Lima;6,17777729;0,137283951;0,078397207;2,70E-05;0,878215671
Iara Silva Lima Alexandrino;3,899999142;0,097499974;0,085676894;9,86E-05;0,851069093
Ilbenir Pessanha Crespo;2,769230366;0,213017717;0,191458285;0,000888341;0,576747
